n,xi_1,theta_prime_surface,mass,rho_c_over_rho_avg,W_n,f_M,(5-n)f_A,x_eq,virial
0.0,2.44948974,-0.8164966,4.89898,1.0,0.1193662,1.0,2.0,0.62035049,
0.5,2.75269805,-0.4999971,3.788651,1.835143,0.2122091,0.5449168,1.124987,0.8309903,0.0
1.0,3.14159265,-0.3183099,3.141593,3.289868,0.392699,0.3039636,0.6079272,1.2533141,0.0
1.5,3.65375374,-0.2033013,2.714055,5.990704,0.7701402,0.1669253,0.3099856,2.357286,0.0
2.0,4.3528746,-0.1272487,2.411047,11.40254,1.638182,0.08769977,0.1457301,7.5164793,0.0
2.5,5.35527546,-0.07626491,2.187199,23.40646,3.909062,0.04272324,0.06107153,186.36634,0.0
3.0,6.89684862,-0.04242976,2.018236,54.18248,11.05068,0.01845615,0.02160341,,
3.5,9.53580534,-0.02079098,1.890557,152.8837,40.90983,0.00654092,0.005835575,0.0016685566,0.0
4.0,14.9715463,-0.008018079,1.79723,622.4079,247.5594,0.001606664,0.0009643439,0.051854394,0.0
4.5,31.8364632,-0.001714549,1.737799,6189.473,4921.842,0.0001615646,4.850469e-05,0.28486849,0.0
4.99,1758.18915,-5.598955e-07,1.730765,1046736000.0,42378870000.0,9.553503e-10,5.633289e-12,23.460204,2.2e-15
